image,x,y,w,h,label,abs_pos
\content\images\161.png,253,2698,282,2726,𒁹,p_161_line_54_pos_3.png
\content\images\161.png,404,2837,515,2874,𒃻,p_161_line_57_pos_4.png
\content\images\161.png,386,2897,399,2923,𒁹,p_161_line_58_pos_7.png
\content\images\161.png,506,2938,549,2965,𒁹,p_161_line_59_pos_5.png
\content\images\162.png,280,10,318,49,𒆠,p_162_line_1_pos_2.png
\content\images\162.png,323,17,350,45,𒈨,p_162_line_1_pos_3.png
\content\images\162.png,366,17,388,45,𒃻,p_162_line_1_pos_4.png
\content\images\162.png,397,19,443,44,𒈪,p_162_line_1_pos_5.png
\content\images\162.png,456,13,528,46,𒆟,p_162_line_1_pos_6.png
\content\images\162.png,305,65,357,94,𒌅,p_162_line_2_pos_1.png
\content\images\162.png,375,66,398,94,𒃻,p_162_line_2_pos_2.png
\content\images\162.png,412,64,458,96,𒆍,p_162_line_2_pos_3.png
\content\images\162.png,465,65,511,95,𒃲,p_162_line_2_pos_4.png
\content\images\162.png,515,68,554,97,𒄿,p_162_line_2_pos_5.png
\content\images\162.png,213,118,246,146,𒈬,p_162_line_3_pos_1.png
\content\images\162.png,261,120,297,149,𒈬,p_162_line_3_pos_2.png
\content\images\162.png,326,120,345,147,𒀀,p_162_line_3_pos_3.png
\content\images\162.png,375,117,407,147,𒇽,p_162_line_3_pos_4.png
\content\images\162.png,255,237,294,264,𒈬,p_162_line_4_pos_1.png
\content\images\162.png,295,238,329,264,𒐈,p_162_line_4_pos_2.png
\content\images\162.png,334,236,374,265,𒄰,p_162_line_4_pos_3.png
\content\images\162.png,392,237,419,264,𒀀,p_162_line_4_pos_4.png
\content\images\162.png,419,229,459,269,𒁲,p_162_line_4_pos_5.png
\content\images\162.png,471,236,498,261,𒌓,p_162_line_4_pos_6.png
\content\images\162.png,508,235,542,264,𒐋,p_162_line_4_pos_7.png
\content\images\162.png,549,232,592,263,𒄰,p_162_line_4_pos_8.png
\content\images\162.png,542,283,569,311,𒆳,p_162_line_5_pos_8.png
\content\images\162.png,88,437,122,467,𒈠,p_162_line_8_pos_1.png
\content\images\162.png,125,439,158,469,𒅆,p_162_line_8_pos_2.png
\content\images\162.png,27,484,66,514,𒈬,p_162_line_9_pos_1.png
\content\images\162.png,72,487,106,512,𒐈,p_162_line_9_pos_2.png
\content\images\162.png,116,484,158,515,𒄰,p_162_line_9_pos_3.png
\content\images\162.png,285,485,343,521,𒀭+𒂗,p_162_line_9_pos_4.png
\content\images\162.png,364,483,403,516,𒂊,p_162_line_9_pos_5.png
\content\images\162.png,442,483,494,514,𒋛𒀀,p_162_line_9_pos_6.png
\content\images\162.png,137,535,174,564,𒈠,p_162_line_10_pos_2.png
\content\images\162.png,143,587,168,619,𒃻,p_162_line_11_pos_2.png
\content\images\162.png,184,586,199,613,𒁹,p_162_line_11_pos_3.png
\content\images\162.png,204,582,237,614,𒈬,p_162_line_11_pos_4.png
\content\images\162.png,243,585,304,625,𒀭+𒂗,p_162_line_11_pos_5.png
\content\images\162.png,315,586,335,615,𒃻,p_162_line_11_pos_6.png
\content\images\162.png,345,587,388,619,𒋫,p_162_line_11_pos_7.png
\content\images\162.png,396,587,443,617,𒌗,p_162_line_11_pos_8.png
\content\images\162.png,450,586,510,618,𒋞,p_162_line_11_pos_9.png
\content\images\162.png,527,586,557,615,𒌓,p_162_line_11_pos_10.png
\content\images\162.png,624,587,663,619,𒄰,p_162_line_11_pos_12.png
\content\images\162.png,26,632,60,667,𒈬,p_162_line_12_pos_1.png
\content\images\162.png,160,637,187,667,𒀀,p_162_line_12_pos_3.png
\content\images\162.png,190,631,229,669,𒁲,p_162_line_12_pos_4.png
\content\images\162.png,240,638,288,669,𒌗,p_162_line_12_pos_5.png
\content\images\162.png,300,635,359,667,𒋞,p_162_line_12_pos_6.png
\content\images\162.png,378,636,408,664,𒌓,p_162_line_12_pos_7.png
\content\images\162.png,416,637,453,667,𒐋,p_162_line_12_pos_8.png
\content\images\162.png,463,636,503,667,𒄰,p_162_line_12_pos_9.png
\content\images\162.png,539,635,577,666,𒈬,p_162_line_12_pos_10.png
\content\images\162.png,588,636,619,669,𒐉,p_162_line_12_pos_11.png
\content\images\162.png,628,636,669,666,𒄰,p_162_line_12_pos_12.png
\content\images\162.png,26,789,47,820,𒃻,p_162_line_15_pos_1.png
\content\images\162.png,719,786,758,818,𒄰,p_162_line_15_pos_14.png
\content\images\162.png,137,889,175,918,𒅆,p_162_line_17_pos_1.png
\content\images\162.png,178,888,212,919,𒄷,p_162_line_17_pos_2.png
\content\images\162.png,218,886,263,921,𒋫,p_162_line_17_pos_3.png
\content\images\162.png,263,887,299,920,𒂍,p_162_line_17_pos_4.png
\content\images\162.png,303,889,324,920,𒃻,p_162_line_17_pos_5.png
\content\images\162.png,435,887,476,916,𒌗,p_162_line_17_pos_7.png
\content\images\162.png,478,887,530,918,𒁇,p_162_line_17_pos_8.png
\content\images\162.png,249,931,272,954,𒀀,p_162_line_18_pos_2.png
\content\images\162.png,281,929,320,953,𒈾,p_162_line_18_pos_3.png
\content\images\162.png,335,929,364,955,𒐉,p_162_line_18_pos_4.png
\content\images\162.png,430,927,457,952,𒅆,p_162_line_18_pos_6.png
\content\images\162.png,494,927,532,953,𒄷,p_162_line_18_pos_7.png
\content\images\162.png,349,993,387,1021,𒄰,p_162_line_20_pos_2.png
\content\images\163.png,24,19,55,49,𒐋,p_163_line_1_pos_1.png
\content\images\163.png,66,20,103,50,𒌆,p_163_line_1_pos_2.png
\content\images\163.png,115,20,142,48,𒆳,p_163_line_1_pos_3.png
\content\images\163.png,153,18,200,50,𒊏,p_163_line_1_pos_4.png
\content\images\163.png,206,19,243,49,𒈨𒌍,p_163_line_1_pos_5.png
\content\images\163.png,256,18,278,49,𒃻,p_163_line_1_pos_6.png
\content\images\163.png,295,18,330,49,𒄿,p_163_line_1_pos_7.png
\content\images\163.png,336,12,375,50,𒁲,p_163_line_1_pos_8.png
\content\images\163.png,389,16,430,46,𒂍,p_163_line_1_pos_9.png
\content\images\163.png,435,15,476,44,𒈨𒌍,p_163_line_1_pos_10.png
\content\images\163.png,25,76,45,91,𒀸,p_163_line_2_pos_1.png
\content\images\163.png,50,66,102,99,𒋗,p_163_line_2_pos_2.png
\content\images\163.png,24,120,47,147,𒈫,p_163_line_3_pos_1.png
\content\images\163.png,60,113,117,151,𒆠𒈫,p_163_line_3_pos_2.png
\content\images\163.png,139,126,164,143,𒀸,p_163_line_3_pos_3.png
\content\images\163.png,170,118,222,150,𒋗,p_163_line_3_pos_4.png
\content\images\163.png,25,170,55,193,𒉽,p_163_line_4_pos_1.png
\content\images\163.png,61,168,96,205,𒐍,p_163_line_4_pos_2.png
\content\images\163.png,117,162,175,201,𒆠𒈫,p_163_line_4_pos_3.png
\content\images\163.png,181,167,221,196,𒈨𒌍,p_163_line_4_pos_4.png
\content\images\163.png,256,176,279,191,𒀸,p_163_line_4_pos_5.png
\content\images\163.png,288,170,343,200,𒋗,p_163_line_4_pos_6.png
\content\images\163.png,3,251,20,278,𒁹,p_163_line_5_pos_1.png
\content\images\163.png,30,248,77,277,𒊑,p_163_line_5_pos_2.png
\content\images\163.png,90,248,148,278,𒄷𒄭,p_163_line_5_pos_3.png
\content\images\163.png,149,246,188,275,𒀭,p_163_line_5_pos_4.png
\content\images\163.png,246,248,272,276,𒀀,p_163_line_5_pos_5.png
\content\images\163.png,281,243,324,274,𒈾,p_163_line_5_pos_6.png
\content\images\163.png,108,345,149,378,𒋗,p_163_line_7_pos_1.png
\content\images\163.png,171,345,219,374,𒁍,p_163_line_7_pos_2.png
\content\images\163.png,235,346,279,378,𒇻,p_163_line_7_pos_3.png
\content\images\163.png,16,397,65,430,𒌗,p_163_line_8_pos_1.png
\content\images\163.png,88,395,154,427,𒋞,p_163_line_8_pos_2.png
\content\images\163.png,177,395,211,424,𒌓,p_163_line_8_pos_3.png
\content\images\163.png,226,399,264,434,𒐍,p_163_line_8_pos_4.png
\content\images\163.png,275,395,317,428,𒄰,p_163_line_8_pos_5.png
\content\images\163.png,13,447,52,478,𒈬,p_163_line_9_pos_1.png
\content\images\163.png,69,448,104,480,𒐉,p_163_line_9_pos_2.png
\content\images\163.png,124,446,168,477,𒄰,p_163_line_9_pos_3.png
\content\images\163.png,185,448,205,476,𒁹,p_163_line_9_pos_4.png
\content\images\163.png,215,446,256,478,𒆪,p_163_line_9_pos_5.png
\content\images\163.png,269,444,308,475,𒆜,p_163_line_9_pos_6.png
\content\images\163.png,325,443,373,476,𒈗,p_163_line_9_pos_7.png
\content\images\163.png,388,445,415,474,𒆳,p_163_line_9_pos_8.png
\content\images\163.png,423,445,456,474,𒆳,p_163_line_9_pos_9.png
\content\images\164.png,4,18,37,48,𒇽,p_164_line_1_pos_1.png
\content\images\164.png,46,17,82,47,𒈬,p_164_line_1_pos_2.png
\content\images\164.png,90,17,136,54,𒆥,p_164_line_1_pos_3.png
\content\images\164.png,138,16,172,49,𒉌,p_164_line_1_pos_4.png
\content\images\164.png,177,17,213,46,𒂊,p_164_line_1_pos_5.png
\content\images\164.png,232,18,253,47,𒃻,p_164_line_1_pos_6.png
\content\images\164.png,264,23,288,41,𒀸,p_164_line_1_pos_7.png
\content\images\164.png,293,16,332,49,𒅆,p_164_line_1_pos_8.png
\content\images\164.png,335,17,360,52,𒋙,p_164_line_1_pos_9.png
\content\images\164.png,358,12,393,41,𒉡,p_164_line_1_pos_10.png
\content\images\164.png,399,15,413,44,𒁹,p_164_line_1_pos_11.png
\content\images\164.png,419,11,454,43,𒀭,p_164_line_1_pos_12.png
\content\images\164.png,52,70,92,99,𒁍,p_164_line_2_pos_2.png
\content\images\164.png,99,69,138,98,𒌑,p_164_line_2_pos_3.png
\content\images\164.png,154,68,206,100,𒌝,p_164_line_2_pos_4.png
\content\images\164.png,213,68,251,97,𒈠,p_164_line_2_pos_5.png
\content\images\164.png,267,68,294,99,𒀀,p_164_line_2_pos_6.png
\content\images\164.png,306,68,338,95,𒈨,p_164_line_2_pos_7.png
\content\images\164.png,341,67,382,98,𒇻,p_164_line_2_pos_8.png
\content\images\164.png,2,118,64,148,𒌋𒅗,p_164_line_3_pos_1.png
\content\images\164.png,75,119,88,144,𒁹,p_164_line_3_pos_2.png
\content\images\164.png,187,119,221,146,𒌓,p_164_line_3_pos_4.png
\content\images\164.png,288,117,327,149,𒄰,p_164_line_3_pos_6.png
\content\images\164.png,340,115,394,147,𒀉,p_164_line_3_pos_7.png
\content\images\164.png,401,116,452,147,𒁕,p_164_line_3_pos_8.png
\content\images\164.png,455,116,491,147,𒀾,p_164_line_3_pos_9.png
\content\images\164.png,497,116,518,154,𒋙,p_164_line_3_pos_10.png
\content\images\164.png,4,253,17,275,𒁹,p_164_line_7_pos_1.png
\content\images\164.png,291,277,309,303,𒁹,p_164_line_8_pos_1.png
\content\images\164.png,323,277,356,305,𒀭,p_164_line_8_pos_2.png
\content\images\164.png,3,371,17,399,𒁹,p_164_line_11_pos_1.png
\content\images\164.png,188,372,213,402,𒀀,p_164_line_11_pos_6.png
\content\images\165.png,54,19,88,47,𒈠,p_165_line_1_pos_2.png
\content\images\165.png,97,18,139,46,𒈾,p_165_line_1_pos_3.png
\content\images\165.png,0,120,20,143,𒌋,p_165_line_3_pos_1.png
\content\images\165.png,30,117,65,146,𒇽,p_165_line_3_pos_2.png
\content\images\165.png,83,118,131,151,𒋃,p_165_line_3_pos_3.png
\content\images\165.png,144,117,160,144,𒁹,p_165_line_3_pos_4.png
\content\images\165.png,171,115,210,143,𒀭,p_165_line_3_pos_5.png
\content\images\165.png,218,113,249,144,𒌓,p_165_line_3_pos_6.png
\content\images\165.png,6,164,56,198,𒀕,p_165_line_4_pos_1.png
\content\images\165.png,65,158,105,197,𒆠,p_165_line_4_pos_2.png
\content\images\165.png,127,164,176,195,𒌗,p_165_line_4_pos_3.png
\content\images\165.png,188,161,252,195,𒋞,p_165_line_4_pos_4.png
\content\images\165.png,268,163,298,193,𒌓,p_165_line_4_pos_5.png
\content\images\165.png,6,215,48,247,𒈬,p_165_line_5_pos_1.png
\content\images\165.png,55,215,89,249,𒐉,p_165_line_5_pos_2.png
\content\images\165.png,98,214,139,247,𒄰,p_165_line_5_pos_3.png
\content\images\165.png,156,214,172,242,𒁹,p_165_line_5_pos_4.png
\content\images\165.png,184,213,224,246,𒆪,p_165_line_5_pos_5.png
\content\images\165.png,234,212,273,242,𒆜,p_165_line_5_pos_6.png
\content\images\165.png,277,212,304,249,𒋙,p_165_line_5_pos_7.png
\content\images\165.png,320,210,364,243,𒈗,p_165_line_5_pos_8.png
\content\images\165.png,368,213,396,243,𒁷,p_165_line_5_pos_9.png
\content\images\165.png,345,240,390,266,𒈗,p_165_line_6_pos_1.png
\content\images\165.png,405,243,430,266,𒆳,p_165_line_6_pos_2.png
\content\images\165.png,448,240,473,266,𒆳,p_165_line_6_pos_3.png
\content\images\165.png,489,239,526,264,𒈨𒌍,p_165_line_6_pos_4.png
\content\images\166.png,92,17,126,48,𒉌,p_166_line_1_pos_2.png
\content\images\166.png,261,15,297,46,𒂍,p_166_line_1_pos_5.png
\content\images\166.png,302,15,338,43,𒀭,p_166_line_1_pos_6.png
\content\images\166.png,336,14,369,42,𒌓,p_166_line_1_pos_7.png
\content\images\166.png,380,16,402,47,𒃻,p_166_line_1_pos_8.png
\content\images\166.png,6,67,50,99,𒌗,p_166_line_2_pos_1.png
\content\images\166.png,114,66,146,96,𒌓,p_166_line_2_pos_3.png
\content\images\166.png,217,68,258,99,𒄰,p_166_line_2_pos_5.png
\content\images\166.png,273,66,310,97,𒈬,p_166_line_2_pos_6.png
\content\images\166.png,353,66,390,97,𒄰,p_166_line_2_pos_8.png
\content\images\166.png,397,65,414,92,𒁹,p_166_line_2_pos_9.png
\content\images\166.png,420,64,460,96,𒆪,p_166_line_2_pos_10.png
\content\images\166.png,465,62,501,92,𒆜,p_166_line_2_pos_11.png
\content\images\166.png,102,175,129,206,𒊺,p_166_line_3_pos_1.png
\content\images\166.png,179,172,215,205,𒉌,p_166_line_3_pos_3.png
\content\images\166.png,226,174,282,204,𒊕,p_166_line_3_pos_4.png
\content\images\166.png,285,173,330,204,𒁺,p_166_line_3_pos_5.png
\content\images\166.png,337,176,396,206,𒍠,p_166_line_3_pos_6.png
\content\images\166.png,398,175,438,206,𒇻,p_166_line_3_pos_7.png
\content\images\166.png,20,225,61,255,𒂍,p_166_line_4_pos_1.png
\content\images\166.png,68,224,106,253,𒋡,p_166_line_4_pos_2.png
\content\images\166.png,116,225,142,256,𒃻,p_166_line_4_pos_3.png
\content\images\166.png,251,223,301,252,𒃶,p_166_line_4_pos_6.png
\content\images\166.png,304,222,347,250,𒈾,p_166_line_4_pos_7.png
\content\images\166.png,384,224,434,260,1en,p_166_line_4_pos_8.png
\content\images\166.png,452,220,507,253,𒆍,p_166_line_4_pos_9.png
\content\images\166.png,104,274,130,304,𒊺,p_166_line_5_pos_3.png
\content\images\166.png,185,271,218,306,𒉌,p_166_line_5_pos_5.png
\content\images\166.png,259,276,284,301,𒈫,p_166_line_5_pos_6.png
\content\images\166.png,293,276,337,304,𒌑,p_166_line_5_pos_7.png
\content\images\166.png,374,274,423,305,𒆍,p_166_line_5_pos_8.png
\content\images\166.png,126,327,153,361,𒊺,p_166_line_6_pos_2.png
\content\images\166.png,208,324,244,358,𒉌,p_166_line_6_pos_4.png
\content\images\166.png,274,323,315,360,𒊩,p_166_line_6_pos_5.png
\content\images\166.png,324,329,348,363,𒋙,p_166_line_6_pos_6.png
\content\images\166.png,383,323,436,358,𒆍,p_166_line_6_pos_7.png
\content\images\166.png,180,448,198,478,𒃻,p_166_line_8_pos_1.png
\content\images\166.png,327,458,366,486,𒆗,p_166_line_9_pos_5.png
\content\images\167.png,57,17,92,46,𒈠,p_167_line_1_pos_2.png
\content\images\167.png,101,16,141,43,𒈾,p_167_line_1_pos_3.png
\content\images\167.png,153,17,181,52,𒑚,p_167_line_1_pos_4.png
\content\images\167.png,186,18,215,56,𒐌,p_167_line_1_pos_5.png
\content\images\167.png,228,18,285,48,𒂆,p_167_line_1_pos_6.png
\content\images\167.png,302,18,355,50,𒆬,p_167_line_1_pos_7.png
\content\images\167.png,21,64,43,96,𒃻,p_167_line_2_pos_1.png
\content\images\167.png,64,61,98,92,𒅕,p_167_line_2_pos_2.png
\content\images\167.png,108,63,145,96,𒁉,p_167_line_2_pos_3.png
\content\images\167.png,183,67,210,94,𒀀,p_167_line_2_pos_4.png
\content\images\167.png,224,66,262,92,𒈾,p_167_line_2_pos_5.png
\content\images\167.png,21,116,45,146,𒀀,p_167_line_3_pos_1.png
\content\images\167.png,57,116,98,143,𒈾,p_167_line_3_pos_2.png
\content\images\167.png,119,117,161,146,𒉿,p_167_line_3_pos_3.png
\content\images\167.png,176,116,230,144,𒋾,p_167_line_3_pos_4.png
\content\images\167.png,243,117,282,148,𒂊,p_167_line_3_pos_5.png
\content\images\167.png,300,116,357,150,𒄣,p_167_line_3_pos_6.png
\content\images\167.png,78,165,130,194,𒂆,p_167_line_4_pos_2.png
\content\images\167.png,143,164,192,196,𒆬,p_167_line_4_pos_3.png
\content\images\167.png,177,216,226,247,𒌗,p_167_line_5_pos_3.png
\content\images\167.png,247,214,302,247,𒋗,p_167_line_5_pos_4.png
\content\images\167.png,64,264,97,295,𒌓,p_167_line_6_pos_1.png
\content\images\167.png,182,265,227,298,𒄰,p_167_line_6_pos_3.png
\content\images\167.png,243,266,287,297,𒈬,p_167_line_6_pos_4.png
\content\images\167.png,290,266,322,298,𒐉,p_167_line_6_pos_5.png
\content\images\167.png,334,265,379,299,𒄰,p_167_line_6_pos_6.png
\content\images\167.png,55,314,71,343,𒁹,p_167_line_7_pos_1.png
\content\images\167.png,83,314,122,344,𒆪,p_167_line_7_pos_2.png
\content\images\167.png,143,312,183,343,𒆜,p_167_line_7_pos_3.png
\content\images\167.png,214,314,263,345,𒈗,p_167_line_7_pos_4.png
\content\images\167.png,279,315,312,345,𒁷,p_167_line_7_pos_5.png
\content\images\167.png,320,314,377,347,𒌁,p_167_line_7_pos_6.png
\content\images\167.png,159,363,204,396,𒈗,p_167_line_8_pos_1.png
\content\images\167.png,229,367,259,397,𒆳,p_167_line_8_pos_2.png
\content\images\167.png,280,364,315,398,𒆳,p_167_line_8_pos_3.png
\content\images\168.png,276,61,303,89,𒀀,p_168_line_2_pos_5.png
\content\images\168.png,311,60,329,88,𒁹,p_168_line_2_pos_6.png
\content\images\168.png,337,59,380,92,𒌨,p_168_line_2_pos_7.png
\content\images\168.png,388,59,422,88,𒀭,p_168_line_2_pos_8.png
\content\images\168.png,458,108,474,138,𒁹,p_168_line_3_pos_12.png
\content\images\168.png,480,109,517,136,𒀭,p_168_line_3_pos_13.png
\content\images\168.png,521,108,558,139,𒂍,p_168_line_3_pos_14.png
\content\images\168.png,557,109,579,137,𒀀,p_168_line_3_pos_15.png
\content\images\168.png,587,108,625,148,𒆐,p_168_line_3_pos_16.png
\content\images\168.png,16,160,40,189,𒀀,p_168_line_4_pos_1.png
\content\images\168.png,46,159,79,189,𒇽,p_168_line_4_pos_2.png
\content\images\168.png,91,162,137,194,𒋃,p_168_line_4_pos_3.png
\content\images\168.png,145,160,181,188,𒀭,p_168_line_4_pos_4.png
\content\images\168.png,185,161,217,188,𒁁,p_168_line_4_pos_5.png
\content\images\168.png,235,166,264,184,𒀸,p_168_line_4_pos_6.png
\content\images\168.png,279,153,316,185,𒉡,p_168_line_4_pos_7.png
\content\images\168.png,320,160,366,199,𒂄,p_168_line_4_pos_8.png
\content\images\168.png,380,157,413,190,𒉌,p_168_line_4_pos_9.png
\content\images\168.png,428,159,467,191,𒂊,p_168_line_4_pos_10.png
\content\images\168.png,15,212,37,243,𒃻,p_168_line_5_pos_1.png
\content\images\168.png,48,206,83,244,𒊩,p_168_line_5_pos_2.png
\content\images\168.png,164,210,215,245,𒊏,p_168_line_5_pos_4.png
\content\images\168.png,221,212,247,242,𒀀,p_168_line_5_pos_5.png
\content\images\168.png,267,211,316,244,𒂼,p_168_line_5_pos_6.png
\content\images\168.png,325,212,350,247,𒋙,p_168_line_5_pos_7.png
\content\images\168.png,349,206,383,238,𒉡,p_168_line_5_pos_8.png
\content\images\168.png,398,211,434,243,𒄿,p_168_line_5_pos_9.png
\content\images\168.png,443,211,502,241,𒊻,p_168_line_5_pos_10.png
\content\images\168.png,511,212,558,243,𒍪,p_168_line_5_pos_11.png
\content\images\168.png,567,212,618,244,𒍪,p_168_line_5_pos_12.png
\content\images\168.png,17,258,54,290,𒐋,p_168_line_6_pos_1.png
\content\images\168.png,68,258,118,296,𒄀,p_168_line_6_pos_2.png
\content\images\168.png,127,259,168,289,𒈨𒌍,p_168_line_6_pos_3.png
\content\images\168.png,178,262,197,293,𒃻,p_168_line_6_pos_4.png
\content\images\168.png,210,263,232,291,𒀀,p_168_line_6_pos_5.png
\content\images\168.png,238,260,282,291,𒈾,p_168_line_6_pos_6.png
\content\images\168.png,375,259,419,290,𒉿,p_168_line_6_pos_8.png
\content\images\168.png,438,257,472,288,𒉡,p_168_line_6_pos_9.png
\content\images\168.png,478,261,523,300,𒂄,p_168_line_6_pos_10.png
\content\images\168.png,534,258,566,292,𒉌,p_168_line_6_pos_11.png
\content\images\168.png,575,260,613,292,𒂊,p_168_line_6_pos_12.png
\content\images\168.png,34,359,54,388,𒃻,p_168_line_7_pos_1.png
\content\images\168.png,59,354,92,392,𒊩,p_168_line_7_pos_2.png
\content\images\168.png,158,357,207,388,𒊏,p_168_line_7_pos_4.png
\content\images\168.png,209,361,233,391,𒀀,p_168_line_7_pos_5.png
\content\images\168.png,248,358,296,391,𒂼,p_168_line_7_pos_6.png
\content\images\168.png,300,357,353,397,𒋙,p_168_line_7_pos_7.png
\content\images\168.png,32,414,53,431,𒀸,p_168_line_8_pos_1.png
\content\images\168.png,57,400,96,439,𒊮,p_168_line_8_pos_2.png
\content\images\168.png,98,406,131,439,𒁉,p_168_line_8_pos_3.png
\content\images\168.png,184,405,238,440,𒄀,p_168_line_8_pos_5.png
\content\images\168.png,240,407,283,435,𒈨𒌍,p_168_line_8_pos_6.png
\content\images\168.png,294,407,314,436,𒁹,p_168_line_8_pos_7.png
\content\images\168.png,323,407,368,435,𒊑,p_168_line_8_pos_8.png
\content\images\168.png,379,406,432,439,𒄷𒄭,p_168_line_8_pos_9.png
\content\images\168.png,441,409,492,440,𒌉,p_168_line_8_pos_10.png
\content\images\168.png,490,407,513,439,𒃻,p_168_line_8_pos_11.png
\content\images\168.png,30,457,46,485,𒁹,p_168_line_9_pos_1.png
\content\images\168.png,52,457,81,488,𒆳,p_168_line_9_pos_2.png
\content\images\168.png,135,455,168,488,𒉌,p_168_line_9_pos_4.png
\content\images\168.png,29,559,53,591,𒀀,p_168_line_11_pos_1.png
\content\images\168.png,55,559,98,597,𒋙,p_168_line_11_pos_2.png
\content\images\168.png,27,608,68,642,𒆪,p_168_line_12_pos_1.png
\content\images\168.png,74,609,127,642,𒌝,p_168_line_12_pos_2.png
\content\images\168.png,135,609,172,640,𒄩,p_168_line_12_pos_3.png
\content\images\168.png,176,608,223,641,𒆷,p_168_line_12_pos_4.png
\content\images\168.png,24,659,84,692,𒅇,p_168_line_13_pos_1.png
\content\images\168.png,92,660,107,691,𒁹,p_168_line_13_pos_2.png
\content\images\168.png,113,659,191,691,𒀭+𒈾,p_168_line_13_pos_3.png
\content\images\168.png,252,658,289,691,𒋗,p_168_line_13_pos_5.png
\content\images\168.png,385,654,419,685,𒉡,p_168_line_13_pos_7.png
\content\images\168.png,430,657,479,695,𒂄,p_168_line_13_pos_8.png
\content\images\168.png,491,653,527,688,𒉌,p_168_line_13_pos_9.png
\content\images\168.png,534,657,570,691,𒂊,p_168_line_13_pos_10.png
\content\images\168.png,63,707,92,743,𒊩,p_168_line_14_pos_1.png
\content\images\168.png,154,713,199,745,𒊏,p_168_line_14_pos_3.png
\content\images\168.png,198,713,220,739,𒀀,p_168_line_14_pos_4.png
\content\images\168.png,234,712,280,744,𒂼,p_168_line_14_pos_5.png
\content\images\168.png,284,714,309,749,𒋙,p_168_line_14_pos_6.png
\content\images\168.png,308,710,342,739,𒉡,p_168_line_14_pos_7.png
\content\images\168.png,356,713,373,740,𒁹,p_168_line_14_pos_8.png
\content\images\168.png,383,714,424,742,𒊑,p_168_line_14_pos_9.png
\content\images\168.png,441,713,497,747,𒄷𒄭,p_168_line_14_pos_10.png
\content\images\168.png,173,812,210,843,𒋗,p_168_line_16_pos_3.png
\content\images\168.png,217,807,283,845,𒆲,p_168_line_16_pos_4.png
\content\images\168.png,296,814,315,842,𒁹,p_168_line_16_pos_5.png
\content\images\168.png,324,812,365,843,𒀭,p_168_line_16_pos_6.png
\content\images\168.png,370,812,408,842,𒂍,p_168_line_16_pos_7.png
\content\images\168.png,407,812,434,843,𒀀,p_168_line_16_pos_8.png
\content\images\168.png,447,812,482,843,𒆕,p_168_line_16_pos_9.png
\content\images\168.png,116,860,151,892,𒄩,p_168_line_17_pos_1.png
\content\images\168.png,155,859,197,891,𒆷,p_168_line_17_pos_2.png
\content\images\168.png,205,861,227,895,𒋙,p_168_line_17_pos_3.png
\content\images\168.png,254,860,293,891,𒄿,p_168_line_17_pos_4.png
\content\images\168.png,309,861,357,893,𒋫,p_168_line_17_pos_5.png
\content\images\168.png,380,861,422,890,𒄷,p_168_line_17_pos_6.png
\content\images\168.png,74,907,105,942,𒉡,p_168_line_18_pos_1.png
\content\images\168.png,109,913,158,950,𒂄,p_168_line_18_pos_2.png
\content\images\168.png,164,912,200,945,𒉌,p_168_line_18_pos_3.png
\content\images\168.png,206,911,241,945,𒂊,p_168_line_18_pos_4.png
\content\images\168.png,255,915,280,945,𒃻,p_168_line_18_pos_5.png
\content\images\168.png,290,908,325,946,𒊩,p_168_line_18_pos_6.png
\content\images\168.png,406,911,456,944,𒊏,p_168_line_18_pos_8.png
\content\images\168.png,462,912,487,942,𒀀,p_168_line_18_pos_9.png
\content\images\168.png,495,911,543,946,𒂼,p_168_line_18_pos_10.png
\content\images\168.png,166,964,191,993,𒀀,p_168_line_19_pos_2.png
\content\images\168.png,117,1013,143,1044,𒀀,p_168_line_20_pos_1.png
\content\images\168.png,210,1060,235,1090,𒃻,p_168_line_21_pos_3.png
\content\images\168.png,242,1059,288,1091,𒁕,p_168_line_21_pos_4.png
\content\images\168.png,302,1054,341,1093,𒊒,p_168_line_21_pos_5.png
\content\images\168.png,372,1061,425,1088,𒋾,p_168_line_21_pos_6.png
\content\images\168.png,435,1061,479,1090,𒌑,p_168_line_21_pos_7.png
\content\images\168.png,149,1153,189,1195,𒁲,p_168_line_23_pos_3.png
\content\images\168.png,326,1213,342,1241,𒁹,p_168_line_24_pos_7.png
\content\images\168.png,350,1212,389,1241,𒀭,p_168_line_24_pos_8.png
\content\images\168.png,390,1210,419,1240,𒌓,p_168_line_24_pos_9.png
\content\images\168.png,429,1208,465,1241,𒆕,p_168_line_24_pos_10.png
\content\images\168.png,20,1261,45,1291,𒀀,p_168_line_25_pos_1.png
\content\images\168.png,48,1262,66,1288,𒁹,p_168_line_25_pos_2.png
\content\images\168.png,76,1261,110,1293,𒂟,p_168_line_25_pos_3.png
\content\images\168.png,23,1311,38,1339,𒁹,p_168_line_26_pos_1.png
\content\images\168.png,40,1311,77,1337,𒀭,p_168_line_26_pos_2.png
\content\images\168.png,75,1307,137,1340,𒀫,p_168_line_26_pos_3.png
\content\images\168.png,426,1305,467,1346,𒆠,p_168_line_26_pos_10.png
\content\images\168.png,22,1360,40,1390,𒁹,p_168_line_27_pos_1.png
\content\images\168.png,46,1359,84,1388,𒀭,p_168_line_27_pos_2.png
